# IND_NAIS_2018 -- NITI Aayog National Strategy for Artificial Intelligence (2018). Codebook v2.0.1 first pass.
# Document class C: a discussion paper. Its own text states that "specifics (e.g. execution and
# financial implications) have been consciously avoided", so most units carry binding_status "proposed".
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
1|0,0,0,0,2,1|directed|High||None|"Hon'ble Finance Minister, in his budget speech for 2018-2019, mandated NITI Aayog to establish the National Program on AI", and "NITI Aayog has partnered with several leading AI technology players to implement AI projects in critical areas such as agriculture and health" -- an instructed programme with projects already "under various stages of implementation" (T5=2, directed). "The potential to position itself among leaders on the global AI map" and the aspiration to "replicate these solutions in other similarly placed developing countries" is competitiveness and technology-diplomacy framing without an instrument (T6=1).
2|0,0,0,1,2,1|proposed|High||None|"Sustained government intervention to tackle the existing challenges and constraints is needed" and the government is to "play a leading role in developing the implementation roadmap for AI" in sectors with the greatest externalities -- programmatic direction stated as a recommendation rather than a funded commitment (T5=2, proposed). "Responsible AI" appears in a list of dimensions with no framework, body or obligation attached (T4=1). "Scalable solutions for emerging economies" and tackling "global challenges from AI's perspective" is international framing (T6=1).
3|0,0,0,0,1,1|proposed|High||None|The unit is explicit that this is a pre-legislative discussion document: "while this paper includes several recommendations, some of which may be deemed disruptive, specifics (e.g. execution and financial implications) have been consciously avoided, since wider consultations and consensus building is needed". Building "the foundational R&D capability aimed at ensuring competitiveness in the long run" is therefore stated without programme or budget (T5=1). "Solving for India... can easily be extended to the rest of the emerging and developing economies" and India as "the ideal test-bed" is export and development-cooperation framing (T6=1).
4|0,0,0,0,2,1|proposed|High||None|"NITI Aayog has decided to focus on five sectors that are envisioned to benefit the most from AI in solving societal needs" -- Healthcare, Agriculture, Education, Smart Cities and Infrastructure, and Smart Mobility and Transportation -- a defined sectoral programme with named priorities but no budget or implementing mechanism in this unit (T5=2). "A 'Garage' for emerging and developing economies" and "define its own brand of AI leadership" is international positioning (T6=1). At 343 words the unit sits inside the ceiling.
5|0,0,0,1,2,0|proposed|High||None|"The paper proposes a two-tiered structure to address India's AI research aspirations": a "Centre of Research Excellence (CORE)" and "International Centers of Transformational AI (ICTAI)" with private sector collaboration -- named proposed research institutions with defined mandates (T5=2, proposed). Among the listed barriers is "privacy and security, including a lack of formal regulations around anonymisation of data", which diagnoses a regulatory gap without proposing an instrument in this unit (T4=1). No content, surveillance or cross-border mechanism appears.
6|0,0,0,0,2,2|proposed|High||None|An umbrella research organisation, "moonshot research projects", "common computing and other related infrastructure for AI", reskilling mechanisms and a "National AI Marketplace (NAIM)" are proposed institutions and infrastructure with defined functions (T5=2). "Development of a dedicated supranational agency to channel research in solving big, audacious problems of AI -- 'CERN for AI'", together with "encouraging international collaboration", proposes a named cross-border research institution, which is the T6=2 anchor for a formalised international research structure. Both remain proposals in a discussion paper, so binding_status is proposed.
7|0,0,0,2,2,1|proposed|High||None|"A consortium of Ethics Councils at each Centre of Research Excellence can be set up and it would be expected that all COREs adhere to standard practice", and "the paper suggests establishing data protection frameworks and sectorial regulatory frameworks, and promotion of adoption of international standards", against named risks including "data usage without consent, risk of identification of individuals through data, data selection bias and the resulting discrimination of AI models" -- proposed institutional governance with defined content but no enumerated obligations or penalties, which is the T4=2 anchor. IP facilitation centres and training for "IP granting authorities, judiciary and tribunals" are proposed institutional capacity (T5=2). Adoption of international standards is soft alignment (T6=1). At 347 words the unit sits inside the ceiling.
8|0,0,0,0,1,1|proposed|High||None|The unit closes the executive summary with a comparative note -- "Governments in USA, UK, France, Japan and China have released their policy and strategy papers relating to AI" -- and then opens a technical primer describing AI capabilities and investment forecasts (T5=1: market context and a call to release a strategy paper, with no programme or budget). "In order to establish a leadership role, it is important for India to take the plunge" is competitiveness framing (T6=1). At 418 words the unit exceeds the 350-word ceiling and is flagged; it also spans a section boundary between the executive summary and the primer.
9|0,0,0,0,1,0|aspirational|Moderate||None|A technical primer on why the current wave of AI differs from earlier "AI winters", citing cloud market growth, falling storage costs and the growth of the global data sphere. The only thematic content is economic context -- the scale of the public cloud services market and of data generation -- with no Indian programme, instrument or commitment (T5=1). Confidence is Moderate because the unit is explanatory rather than policy text.
10|0,0,0,0,1,0|aspirational|Moderate||None|A continuation of the technical primer: GPUs versus CPUs, Google's Tensor Processing Unit, the definitions of machine learning and deep learning, and a cross-reference to Appendix I. The compute and open-source discussion is economic and infrastructural context only, with no Indian instrument, budget or commitment (T5=1). No obligation, right, content or cross-border mechanism appears.
11|0,0,0,0,0,0|n/a|High||None|A definitional taxonomy: weak versus strong AI, narrow versus general AI, and superintelligence, illustrated with chatbots and Deep Blue. The unit contains no policy content of any kind -- no mechanism, no actor under obligation, no programme, and no normative claim about how AI should be governed. All six themes are therefore 0 and binding_status is n/a.
12|0,0,0,0,1,1|proposed|High||None|The unit benchmarks other jurisdictions rather than committing India to anything: the US, France, Japan, China and the UK strategy releases, and the observation that "creation of 'data trusts', rolling out of digital connectivity infrastructure such as 5G / full fiber networks, common supercomputing facilities, fiscal incentives and creation of open source software libraries are some of the focus areas of various governments" (T5=1 -- other countries' instruments described, none adopted here). Comparative GDP claims, publication-volume league tables and the framing of an AI "race" is competitiveness framing (T6=1).
13|0,0,0,0,1,1|proposed|High||None|The unit continues the international benchmark: other governments' PhD and teacher-training targets, "dedicated public offices such as Ministry of AI (UAE), and Office of AI and AI Council (U.K.)", increased public R&D spend, industrial funds, and public-private "national teams". None of these is adopted by India here; the unit closes only with the conclusion that "the need of the hour is to develop a policy framework that will help set up a vibrant AI ecosystem in India" (T5=1). The warning that countries which "decide to wait for a few years" will not "match up to the current momentum" is competitiveness framing (T6=1). At 350 words the unit is exactly at the ceiling.
14|0,0,0,0,1,1|proposed|High||None|The framework is set out as three components -- economic opportunity, "AI for Greater Good", and "AI Garage for 40% of the world" -- and the economic case rests on a consultancy estimate that AI could "boost India's annual growth rate by 1.3 percentage points by 2035" (T5=1: economic vision with no instrument, budget or implementing body). Positioning India as "solution provider of choice for the emerging and developing economies (ex-China) across the globe" is export and technology-diplomacy framing without any control, agreement or funding mechanism (T6=1).
15|0,0,0,0,1,1|proposed|High||None|"Increased access to quality health facilities... inclusive financial growth... providing real-time advisory to farmers... building smart and efficient cities" are stated as opportunity areas rather than as programmes (T5=1). "India provides a perfect 'playground' for enterprises and institutions globally to develop scalable solutions which can be easily implemented in the rest of the developing and emerging economies", illustrated by a tuberculosis diagnostic that "could easily be rolled out to countries in South East Asia or Africa", is export framing (T6=1). No obligation, instrument or consequence appears.
