"page","col","y","n_words","text","drop_reason","doc_id"
1,1,47,3,"THE WHITE HOUSE","sparse_page","USA_AIAP_2025"
1,1,344,3,"Winning the Race","sparse_page","USA_AIAP_2025"
1,1,402,1,"AMERICA’S","sparse_page","USA_AIAP_2025"
1,1,501,3,"AI ACTION PLAN","sparse_page","USA_AIAP_2025"
1,1,696,2,"JULY 2025","sparse_page","USA_AIAP_2025"
2,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
2,1,735,1,"i","page_number","USA_AIAP_2025"
3,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
3,1,72,3,"Table of Contents","toc_page","USA_AIAP_2025"
3,1,117,3,"Introduction .............................................................................................................................. 1","toc_line","USA_AIAP_2025"
3,1,142,7,"Pillar I: Accelerate AI Innovation .............................................................................................. 3","toc_line","USA_AIAP_2025"
3,1,159,8,"Remove Red Tape and Onerous Regulation .................................................................................... 3","toc_line","USA_AIAP_2025"
3,1,172,12,"Ensure that Frontier AI Protects Free Speech and American Values ......................................... 4","toc_line","USA_AIAP_2025"
3,1,186,7,"Encourage Open-Source and Open-Weight AI ............................................................................. 4","toc_line","USA_AIAP_2025"
3,1,199,5,"Enable AI Adoption ............................................................................................................................... 5","toc_line","USA_AIAP_2025"
3,1,213,10,"Empower American Workers in the Age of AI ................................................................................. 6","toc_line","USA_AIAP_2025"
3,1,226,5,"Support Next-Generation Manufacturing ....................................................................................... 7","toc_line","USA_AIAP_2025"
3,1,239,6,"Invest in AI-Enabled Science .............................................................................................................. 8","toc_line","USA_AIAP_2025"
3,1,253,6,"Build World-Class Scientific Datasets .............................................................................................. 8","toc_line","USA_AIAP_2025"
3,1,266,7,"Advance the Science of AI ................................................................................................................... 9","toc_line","USA_AIAP_2025"
3,1,280,10,"Invest in AI Interpretability, Control, and Robustness Breakthroughs ........................................ 9","toc_line","USA_AIAP_2025"
3,1,293,7,"Build an AI Evaluations Ecosystem .................................................................................................. 10","toc_line","USA_AIAP_2025"
3,1,306,7,"Accelerate AI Adoption in Government ......................................................................................... 10","toc_line","USA_AIAP_2025"
3,1,320,11,"Drive Adoption of AI within the Department of Defense ............................................................. 11","toc_line","USA_AIAP_2025"
3,1,333,8,"Protect Commercial and Government AI Innovations ................................................................. 12","toc_line","USA_AIAP_2025"
3,1,347,9,"Combat Synthetic Media in the Legal System .............................................................................. 12","toc_line","USA_AIAP_2025"
3,1,372,8,"Pillar II: Build American AI Infrastructure .............................................................................. 14","toc_line","USA_AIAP_2025"
3,1,389,8,"Create Streamlined Permitting for Data Centers, Semiconductor Manufacturing","toc_page","USA_AIAP_2025"
3,1,402,9,"Facilities, and Energy Infrastructure while Guaranteeing Security ..................................... 14","toc_line","USA_AIAP_2025"
3,1,415,12,"Develop a Grid to Match the Pace of AI Innovation ...................................................................... 15","toc_line","USA_AIAP_2025"
3,1,429,6,"Restore American Semiconductor Manufacturing ...................................................................... 16","toc_line","USA_AIAP_2025"
3,1,442,12,"Build High-Security Data Centers for Military and Intelligence Community Usage .............. 16","toc_line","USA_AIAP_2025"
3,1,456,9,"Train a Skilled Workforce for AI Infrastructure .............................................................................. 17","toc_line","USA_AIAP_2025"
3,1,469,6,"Bolster Critical Infrastructure Cybersecurity ................................................................................. 18","toc_line","USA_AIAP_2025"
3,1,483,8,"Promote Secure-By-Design AI Technologies and Applications ............................................... 18","toc_line","USA_AIAP_2025"
3,1,496,10,"Promote Mature Federal Capacity for AI Incident Response ..................................................... 19","toc_line","USA_AIAP_2025"
3,1,521,11,"Pillar III: Lead in International AI Diplomacy and Security ................................................... 20","toc_line","USA_AIAP_2025"
3,1,538,9,"Export American AI to Allies and Partners .................................................................................... 20","toc_line","USA_AIAP_2025"
3,1,551,9,"Counter Chinese Influence in International Governance Bodies .............................................. 20","toc_line","USA_AIAP_2025"
3,1,565,8,"Strengthen AI Compute Export Control Enforcement ............................................................... 21","toc_line","USA_AIAP_2025"
3,1,578,10,"Plug Loopholes in Existing Semiconductor Manufacturing Export Controls ......................... 21","toc_line","USA_AIAP_2025"
3,1,591,6,"Align Protection Measures Globally ................................................................................................ 21","toc_line","USA_AIAP_2025"
3,1,605,13,"Ensure that the U.S. Government is at the Forefront of Evaluating National Security","toc_page","USA_AIAP_2025"
3,1,618,6,"Risks in Frontier Models ............................................................................................................... 22","toc_line","USA_AIAP_2025"
3,1,632,5,"Invest in Biosecurity ............................................................................................................................ 23","toc_line","USA_AIAP_2025"
3,1,735,1,"ii","page_number","USA_AIAP_2025"
4,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
4,1,198,10,"and directing the creation of an AI Action Plan. 1","toc_line","USA_AIAP_2025"
4,1,680,17,"1 Executive Order 14179 of January 23, 2025, “Removing Barriers to American Leadership in Artificial Intelligence,” Federal","footnote_small_type","USA_AIAP_2025"
4,1,690,5,"Register 90 (20) 8741, www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf.","footnote_small_type","USA_AIAP_2025"
4,1,700,20,"2 J.D. Vance, “Remarks by the Vice President at the Artificial Intelligence Action Summit in Paris, France,” February 11, 2025,","footnote_small_type","USA_AIAP_2025"
4,1,710,1,"www.presidency.ucsb.edu/documents/remarks-the-vice-president-the-artificial-intelligence-action-summit-paris-france.","footnote_small_type","USA_AIAP_2025"
4,1,735,1,"1","page_number","USA_AIAP_2025"
5,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
5,1,735,1,"2","page_number","USA_AIAP_2025"
6,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
6,1,462,9,"agreements that unnecessarily hinder AI development or deployment. 4","toc_line","USA_AIAP_2025"
6,1,569,7,"under the Communications Act of 1934. 5","toc_line","USA_AIAP_2025"
6,1,670,18,"3 Executive Order 14110 of October 30, 2023, “Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence,”","footnote_small_type","USA_AIAP_2025"
6,1,680,6,"Federal Register 88 (210) 75191, www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf.","footnote_small_type","USA_AIAP_2025"
6,1,690,17,"4 Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” Federal Register 90 (24) 9065,","footnote_small_type","USA_AIAP_2025"
6,1,700,1,"www.govinfo.gov/content/pkg/FR-2025-02-06/pdf/2025-02345.pdf.","footnote_small_type","USA_AIAP_2025"
6,1,710,9,"5 Communications Act of 1934, 47 U.S.C. §§ 151-646.","footnote_small_type","USA_AIAP_2025"
6,1,735,1,"3","page_number","USA_AIAP_2025"
7,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
7,1,276,2,"change. 6","toc_line","USA_AIAP_2025"
7,1,700,15,"6 National Institute of Standards and Technology, “Artificial Intelligence Risk Management Framework (AI RMF 1.0),”","footnote_small_type","USA_AIAP_2025"
7,1,710,10,"(Gaithersburg, MD: National Institute of Standards and Technology, 2023), www.doi.org/10.6028/NIST.AI.100-1.","footnote_small_type","USA_AIAP_2025"
7,1,735,1,"4","page_number","USA_AIAP_2025"
8,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
8,1,735,1,"5","page_number","USA_AIAP_2025"
9,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
9,1,670,17,"7 Executive Order 14277 of April 23, 2025: “Advancing Artificial Intelligence Education for American Youth,” Federal Register","footnote_small_type","USA_AIAP_2025"
9,1,680,4,"90 (80) 17519, www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07368.pdf.","footnote_small_type","USA_AIAP_2025"
9,1,690,19,"8 Executive Order 14278 of April 23, 2025: “Preparing Americans for High-Paying Skilled Trade Jobs of the Future,” Federal","footnote_small_type","USA_AIAP_2025"
9,1,700,5,"Register 90 (80) 17525, www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07369.pdf.","footnote_small_type","USA_AIAP_2025"
9,1,710,9,"9 Revenue Act of 1978, 26 U.S.C. § 132.","footnote_small_type","USA_AIAP_2025"
9,1,735,1,"6","page_number","USA_AIAP_2025"
10,1,42,4,"AMERICA’S AI ACTION PLAN","running_head","USA_AIAP_2025"
10,1,651,12,"10 Workforce Innovation and Opportunity Act of 2014, 29 U.S.C. §§ 3101-3361.","footnote_small_type","USA_AIAP_2025"
10,1,661,13,"11 Public Works and Economic Development Act of 1965, 42 U.S.C. §§ 3121-3233.","footnote_small_type","USA_AIAP_2025"
10,1,670,17,"12 William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021, 15 U.S.C. § 4656.","footnote_small_type","USA_AIAP_2025"
