"unit_id","doc_id","jurisdiction","section_path","page_start","word_count","T1_surveillance","T2_executive","T3_infocontrol","T4_civilrights","T5_economic","T6_geopolitical","binding_status","confidence_level","flag_reason","justification"
"DEU_AISTRAT_2018_SUMMARYA_P06_06","DEU_AISTRAT_2018","Germany","Summary “AI made in Germany”",6,337,0,1,0,1,2,2,"directed","High","Polysemic Uncertainty","The measure list is dense and funded: ""a national network of at least twelve centres and application hubs"", ""at least 100 additional professorships for AI"", Mittelstand 4.0 AI trainers contacting ""at least 1,000 companies per year"", doubling the EXIST budget, a Tech Growth Fund Initiative, and a cloud platform with upgradable storage and computing capacity (T5=2). ""Working with France, we will drive forward the development of a Franco-German research and development network"" and ""we will form a European innovation cluster providing funding for cooperative research projects over the next five years"" are formalised cross-border R&D funding clusters, which is the T6=2 anchor. ""Improve incentives and the policy framework for the voluntary sharing of data in compliance with data protection rules"" adjusts framework conditions without creating an exemption (T2=1) and keeps data protection as a stated constraint rather than a new protection (T4=1)."
"DEU_AISTRAT_2018_SUMMARYA_P07_07","DEU_AISTRAT_2018","Germany","Summary “AI made in Germany”",7,348,0,0,0,2,2,1,"directed","High","Polysemic Uncertainty","""The Federal Government will safeguard the possibilities for works councils to engage in co-determination when it comes to the introduction and use of AI"" engages Germany's existing statutory co-determination regime, and the Government ""will invite data protection authorities and business associations for a round table and work together to develop joint guidelines"" and fund applications supporting ""the protection of citizens' privacy"" -- named institutional privacy and worker-participation instruments short of new enforceable obligations (T4=2). The observatory for AI, the National Further Training Strategy, in-company innovation spaces, the Digital Work and Society Future Fund and 50 environmental flagship applications are funded programmes (T5=2). Supporting ""similar observatories at European and international level"" and ""a European and transatlantic dialogue"" is engagement without a named forum, funding or agreement (T6=1)."
"DEU_AISTRAT_2018_1GOALS_P08_08","DEU_AISTRAT_2018","Germany","1. Goals",8,387,0,0,0,1,1,1,"aspirational","High","Missing Operational Context","Goal I is a statement of ambition: ""the Federal Government is committed to achieving and maintaining leading global excellence in the research, development and application of AI"", to broadening the scientific base, and to putting ""the necessary services and policies in place"" for SMEs -- objectives without a named programme, budget or implementing body in this unit (T5=1). ""The modernisation of administration in the context of the needs of a state based on the rule of law"" is a constitutional framing clause with no mechanism (T4=1). ""'Artificial Intelligence (AI) made in Germany' is to become a globally recognised quality mark"" and attracting ""the best talents in AI"" from abroad is competitiveness framing (T6=1). The unit is 387 words, above the 350-word ceiling, and is flagged accordingly."
"DEU_AISTRAT_2018_1GOALS_P08_09","DEU_AISTRAT_2018","Germany","1. Goals",8,326,0,0,0,2,2,1,"directed","High","Polysemic Uncertainty","""We will take into account the recommendations of the Data Ethics Commission as we implement the Strategy"" commits the Government to the output of a named standing ethics body, alongside the goal that data be used ""whilst strictly observing data security and people's right to control their personal data"" and the intention ""to examine whether the regulatory framework needs to be further developed"" -- an institutional guardrail short of an enforceable obligation (T4=2). ""By expanding the smart infrastructure for real-time data transmission and analysis in the gigabit society, we are creating a central basis for stationary and mobile AI applications"" is committed digital infrastructure (T5=2). AI-based business models becoming ""new top exports"" and a ""European solution for data-based business models"" is competitiveness framing (T6=1). The high IT security goal protects systems from manipulation, which the Theme 3 boundary note routes to Theme 5, not to information control."
"DEU_AISTRAT_2018_2CURRENT_P10_11","DEU_AISTRAT_2018","Germany","2. Current situation",10,148,0,0,0,1,2,1,"enacted","Moderate","Missing Operational Context","""The Federal Government's AI Strategy makes a contribution towards the implementation of the current High-Tech Strategy 2025, which... defines the transfer of AI into applications as a joint mission for the Federal Government"" anchors this strategy in an existing funded national programme (T5=2, enacted). ""The EU's General Data Protection Regulation (GDPR) is a first important step and forms an important basis for future European cooperation"" cites an enacted instrument with binding penalties but describes none of its obligations, so under codebook 8.2 the unit is flagged for missing operational context and Theme 4 is held at 1 rather than being lifted by an instrument the text does not describe. ""Europe must... proactively promote its values in order to help shape international rules and to set benchmarks"" is norm-shaping intent without a named forum (T6=1)."
"DEU_AISTRAT_2018_3FIELDSO_31STRE_P13_14","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.1 Strengthening research in Germany and Europe in order to be drivers of innovation",13,381,0,0,0,1,2,0,"directed","High","Missing Operational Context","""We will establish regional Centres of Excellence for Labour Research, where we will bring together scientists and practitioners"", and the three competent federal ministries ""will develop their transfer structures and bring them together into a joint transfer concept for AI"" -- named institutional buildout with identified implementing bodies (T5=2). ""It is highly important to consult and involve workers as specific applications are developed and introduced"" states worker participation as a design principle without creating any right or obligation in this unit (T4=1). At 381 words the unit exceeds the 350-word ceiling and is flagged accordingly."
"DEU_AISTRAT_2018_3FIELDSO_WORKIN_P15_15","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.1 Strengthening research in Germany and Europe in order to be drivers of innovation > Working with France, we will drive forward the development of a Franco-German research and",15,194,0,0,0,0,2,2,"directed","High","Polysemic Uncertainty","""Establishing a bilateral programme providing funding for basic research, with an annual call for proposals"", ""linking up existing French and German centres of excellence to form a virtual centre"", and ""bilateral AI clusters focusing on specific industries"" with ""jointly operated test beds, the joint use of data sets"" is a formalised cross-border R&D funding cluster with specified instruments, which is the T6=2 anchor. The same commitments fund domestic research capacity, joint doctorates and summer schools (T5=2). No control, exclusion or export instrument appears, so Theme 6 does not reach 3."
"DEU_AISTRAT_2018_3FIELDSO_WEWILL_P16_16_2","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.1 Strengthening research in Germany and Europe in order to be drivers of innovation > We will promote research and development for applications that protect consumers’ interests and",16,355,0,0,0,2,2,1,"directed","High","Polysemic Uncertainty","""We want to provide adequate funding for applications that make it easier for those affected to manage the consent they have given"" and ""the Federal Government will promote research into novel ways for pseudonymising and anonymising data and for differential privacy"", together with the principle of ""ethics by, in and for design"", constitute a funded privacy-technology programme, which is the T4=2 anchor. Consumer-enabling technologies, big-data applications and the data economy supply the funded economic dimension (T5=2). ""Technologies designed to guarantee the high level of data protection and privacy standards achieved in the EU... can therefore give German and European companies a competitive advantage internationally"" is competitiveness framing (T6=1). Identifying ""a person's individual health risks"" serves the person scored, so the Theme 1 purpose test is not met. The unit is 355 words and is flagged for exceeding the ceiling."
"DEU_AISTRAT_2018_3FIELDSO_WEWILL_P17_17","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.1 Strengthening research in Germany and Europe in order to be drivers of innovation > We will promote research and development for applications that protect consumers’ interests and",17,184,1,0,2,0,2,1,"directed","High","Polysemic Uncertainty","""In response to new threats to our security from within and without the country, the Federal Government will promote research into both civil security and into the detection of manipulated and automatically generated content, also as part of its work on cybersecurity"" is state-funded synthetic-media detection research inside a named security research programme -- the T3=2 anchor for state-funded provenance and detection work with no enforcement consequence attached. ""As part of its programme providing funding for security research, the Federal Government will establish two new Centres of Excellence"" is funded institutional capacity (T5=2). AI is named as support for ""civil security officers"" in disaster settings, with no programme, target population or monitoring described (T1=1). Research ""to protect the country's external security and for military purposes"" is assigned to competent ministries without an export or exclusion instrument (T6=1). Flagged on the mandatory T3 trigger."
"DEU_AISTRAT_2018_3FIELDSO_WEWILL_P20_20_2","DEU_AISTRAT_2018","Germany","3. Fields of action > 3.2 Innovation competitions and European innovation clusters > We will form a European innovation cluster providing funding for cooperative research projects over",20,178,0,0,0,1,2,2,"directed","High","Polysemic Uncertainty","""We will form a European innovation cluster providing funding for cooperative research projects over the next five years... for instance as part of a EUREKA cluster"", achieved ""by pooling financing and sharing infrastructure and data (including data infrastructure or high-performance computing)"", is a formalised cross-border R&D funding cluster with specified instruments -- the T6=2 anchor. The same commitment funds domestic research capacity and shared high-performance computing (T5=2). ""An integrated pan-European network of scientists and businesses, rooted in shared values and a joint regulatory framework ('European AI')"" invokes shared values without creating an obligation (T4=1)."
