# SGP_NAIS2_2023 -- Singapore National AI Strategy 2.0 (2023). Codebook v2.0.0 first pass.
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
1|0,0,0,0,1,0|aspirational|High||None|Scene-setting on the arrival of generative AI. The only thematic content is the observation that Singaporeans "already frequently interact with digital technologies to transact with the Government and businesses, and are also digitally engaged at work", which is economic and digital-adoption context with no programme attached (T5=1). The unit raises "questions around the risks and responsibilities" without naming a mechanism, an addressee or a consequence on any theme.
2|0,0,1,1,1,0|aspirational|High||None|"We must invest in it to unlock the next frontier of economic growth... This requires investments in our people, enterprises, and digital infrastructure" is stated as conviction rather than as a funded programme (T5=1). Naming "the misuse of AI to amplify harms (e.g. scams, cyberattacks, and mis/disinformation) across society, especially toward vulnerable groups" is a statement of concern about the information environment with no mechanism attached, which is the T3=1 anchor. "Steer AI for the Public Good" and protection of vulnerable groups is protective rhetoric without an enforceable right (T4=1).
3|1,0,0,2,2,0|enacted|High||None|"We have committed more than S$500 million through AI Singapore (AISG) under the Research, Innovation and Enterprise (RIE) 2020 and 2025 plans" is a named, funded, operating programme (T5=2, binding_status enacted). The Model AI Governance Framework (2019) and AI Verify, "an AI governance testing framework and software toolkit", are institutional testing toolkits, which is the T4=2 anchor precisely; they are voluntary and open source, so they do not reach 3. "National AI Projects in areas like Education, Healthcare, and Safety and Security" names a security domain without describing any programme, budget or target, so Theme 1 registers only at 1.
4|2,0,1,1,2,2|enacted|Moderate|YES|Polysemic Uncertainty|"We also use AI to support immigration and customs clearance" describes an operating system that screens travellers -- individuals -- at the national border, which is the T1=2 anchor for automated border screening in operation (binding_status enacted). Adaptive learning systems in schools, chronic health management in hospitals, and the ecosystem figures for research faculty, R&D teams and start-ups are operating funded capacity (T5=2), and active participation in GPAI, the WEF AI Governance Alliance and the UN High-Level Advisory Body is formalised international engagement (T6=2). "Detect and deter online scams" shapes what content reaches users but targets fraud rather than speech or narrative, so it registers at the low end of Theme 3 (T3=1); advocacy for "the responsible and ethical use of AI" is rhetorical (T4=1). Confidence is Moderate because the immigration clearance system is named in a single clause without operational detail; flagged on the mandatory T1 trigger.
5|0,0,1,1,1,1|aspirational|High||None|The unit is diagnostic. "The current inscrutability of large language models (LLMs), which calls into question the validity, credibility, and legality of their output" is a concern about explainability and legality with no mechanism attached (T4=1), and the same clause treats the credibility of model output as an information-integrity problem without proposing any obligation (T3=1). Scarcity of "resources and talent for AI" and competition from "other smaller countries" is competitiveness framing (T5=1, T6=1).
6|0,0,0,0,1,1|aspirational|High||None|The three shifts -- "From Opportunity to Necessity", "From Local to Global", "From Projects to Systems" -- are stated as orientations for the strategy with no instrument, budget or implementing body (T5=1). "Singapore should be well-connected to global innovation networks" and "must contribute to AI breakthroughs and products that the world values" is international competitiveness rhetoric (T6=1). No obligation is created on any party.
7|0,1,0,0,1,1|aspirational|High||None|"Our pro-innovation and business-friendly operating environment" states a light-touch regulatory posture as a national advantage without naming any exemption, sandbox or waiver, which is the T2=1 anchor. "Successful track record in transforming our economy" and "a major business hub" is economic vision (T5=1); "trusted global partner" and "working together with our international network of friends and partners" is diplomatic framing (T6=1).
8|0,0,0,1,1,0|aspirational|High||None|"Harness AI for the Public Good", addressing "population health and climate change", and being "the great equaliser" are vision statements with no programme (T5=1). "Raise up individuals, businesses, and communities to use AI with confidence, discernment, and trust" is empowerment rhetoric without an enforceable right, oversight body or liability (T4=1). Neither goal names an instrument or an addressee.
9|0,0,0,0,1,1|aspirational|Moderate||None|The unit sets out the architecture of the strategy -- three Systems, ten Enablers, fifteen Actions "over the next 3-5 years" -- but names no budget, grant, statute or implementing body, so it sits at vision level rather than at the funded-programme anchor (T5=1). "We will attract more top-tier researchers and engineers to work with and from Singapore" is talent-competition framing (T6=1). Confidence is Moderate because the unit is a table of contents for mechanisms described elsewhere.
10|0,0,1,0,2,0|enacted|High||None|AI Trailblazers was "launched" in July 2023 by MCI, DISG and SNDGO with Google Cloud, giving businesses and agencies "free access to Google Cloud's AI toolsets for up to three months, with the aim of generating 100 Generative AI use cases in 100 days" -- an operating, resourced programme with named implementing bodies (T5=2, enacted). Its "innovation sandbox" is a prototyping environment, not a regulatory sandbox suspending any requirement, so Theme 2 stays 0. "Trust and Safety" is listed as a Smart Nation priority domain without any described mechanism (T3=1).
11|0,0,0,1,2,0|directed|High||None|"We will invest in cross-cutting areas that can accelerate the development and deployment of AI solutions across all domains" and "we will double down on three specific themes -- Reasoning AI, Resource-Efficient AI, and Responsible AI" is a directed research investment programme (T5=2). Responsible AI appears as a research theme aimed at making AI "trusted", not as an audit, right or liability regime (T4=1). No content, surveillance or cross-border mechanism appears.
12|0,1,0,0,2,1|directed|High||None|"The Government has a key role in curating the right incentives (e.g. targeted grants), resources (e.g. compute and talent), regulatory frameworks, and partners", with a "sector-specific, use case-centric approach" focused on Leading Economic Sectors, is funded industrial policy with named levers (T5=2). Curating "regulatory frameworks" to anchor innovation is pro-innovation regulatory posture with no exemption or override named (T2=1). "Attracting best-in-class companies to Singapore" and "Singapore's economic competitiveness" is competitiveness framing (T6=1).
13|0,0,0,0,2,1|directed|High||None|Action 1 commits to "attract and anchor new AI CoEs in Singapore-based companies" and to "explore establishing a new model of Sectoral AI CoEs", working with Industry Champions to identify sector use cases -- a named institutional programme with a defined structure (T5=2). Attracting leading-edge producers to locate in Singapore is investment competition without any export control or exclusion (T6=1). No obligation with a consequence attaches to any party.
14|0,0,0,0,2,0|enacted|High||None|A feature story recording that American Express "set up a Decision Science CoE in Singapore" in December 2022 and expanded it in November 2023 -- an operating investment that evidences the industrial strategy (T5=2, enacted). The CoE performs "credit and fraud risk model development" and customer personalisation, which is risk-scoring of individuals but by a private firm for commercial purposes; Theme 1 covers state monitoring of persons, so this does not engage it. No governance, content or cross-border mechanism appears.
15|0,0,0,0,2,1|directed|High||None|Action 2 commits to "strengthen the AI start-up ecosystem along several pillars", attracting venture builders and accelerator programmes that "will provide the capital, business and technical expertise, infrastructure, and market networks" (T5=2, a named action with defined instruments). "Nurture globally-oriented AI innovators to create intellectual property and scale to more markets" is export-oriented competitiveness framing without any control or exclusion (T6=1).
16|1,0,0,0,2,0|enacted|Moderate||None|The Municipal Services Office and GovTech "launched the OneService chatbot", an operating AI system that classifies citizen complaints and routes them to agencies, alongside a commitment to "develop, deploy, and integrate more useful and powerful AI-enabled products" across the Public Service (T5=2, enacted). One named specialised example is "detecting anomalies in financial statements and transactions to assist anti-money laundering efforts", which applies anomaly detection to the financial activity of persons; it appears as an illustration with no programme, budget or implementing body, so Theme 1 registers at 1. The chatbot itself collects complaints volunteered by citizens about municipal conditions and is service delivery, not monitoring.
17|0,1,0,0,2,0|enacted|High||None|Pair is an operating LLM suite that "thousands of public servants regularly access", and Action 3 commits the Government to "coordinate the resources needed to support public sector AI adoption", including "central funding to support or scale-up novel and impactful use cases, facilitating cross-agency data sharing, providing access to high-performance compute" and targeted AI literacy courses (T5=2, enacted). "Issuing facilitative policy guidelines" signals a pro-innovation regulatory posture without naming any exemption, waiver or override (T2=1). Cross-agency data sharing is described as an internal government enabler with no described subject or target, so it does not by itself engage Theme 1.
18|0,0,0,0,1,1|aspirational|High||None|The unit sets out why a research community matters -- technical heft, commercial spin-offs, "well-paying jobs, start-up growth, and sophisticated venture capital investments" -- and closes with the intention to "take a pragmatic yet bold approach to building up and sustaining our leadership in select areas of AI research", with no budget, grant or implementing body named (T5=1). The comparison with Silicon Valley, Beijing, Boston, Montreal, Seattle and Toronto and the reference to "an enduring competitive advantage in AI for Singapore" is competitiveness framing (T6=1).
19|0,0,0,0,2,1|enacted|High||None|AISG's 100 Experiments programme "provides co-funding of up to S$330,000 per project" and has produced deployed systems -- Q&M Dental Group's model is running "across more than 150 clinics in Singapore and Malaysia" -- which is a named, funded, operating research-to-industry programme (T5=2, enacted). Action 4 adds selective research priorities, an industry-academia nexus, and a commitment to "secure access, and operate Graphics Processing Units (GPUs) for Singapore's research community". Talent recruitment "to work from and with Singapore" is competitiveness framing (T6=1).
20|0,0,0,0,2,2|enacted|High||None|"In February 2023, AISG and the Republic of Korea's Institute for Information and Communication Technology Planning and Evaluation (IITP) launched a joint grant call to fund research" is a formalised cross-border R&D funding cluster in operation, which is the T6=2 anchor exactly. The same grant call funds domestic research capacity at Nanyang Technological University with industry partners (T5=2). The research subject is HVAC and building energy optimisation -- physical plant, not people -- so the Human Target Constraint keeps Theme 1 at 0.
