"unit_id","doc_id","unit_seq","country_iso3","jurisdiction","year","document_class","section_path","page_start","page_end","word_count","is_exec_summary","T1_surveillance","T2_executive","T3_infocontrol","T4_civilrights","T5_economic","T6_geopolitical","primary_theme","primary_score","secondary_theme","secondary_score","n_themes_nonzero","max_score","binding_status","confidence_level","flag_human_review","flag_reason","justification","codebook_version","codebook_sha256","prompt_version","prompt_sha256","model_id","effort","scoring_route","scored_at","run_id","input_tokens","output_tokens","cache_read_input_tokens","evidence_instrument","evidence_addressee","evidence_consequence","source_language","is_translation","regime_type","regime_source","regime_year"
"DEU_AISTRAT_2018_SUMMARYA_P02_06","DEU_AISTRAT_2018",1,"DEU","Germany",2018,"C","Summary “AI made in Germany”",2,6,263,TRUE,0,0,0,1,2,1,"T5_economic",2,"T4_civilrights",1,3,2,"enacted","High","NO","None","""In the 2019 federal budget, the Federation has taken a first step, allocating a total of EUR500 million to beef up the AI strategy for 2019 and the following years. Up to and including 2025, the Federation intends to provide around EUR3 billion"" is a committed, quantified budget allocation already in a passed federal budget (T5=2, enacted). ""We will focus on the benefits for people and the environment, and continue the intensive dialogue with all sections of society"" is participatory rhetoric with no instrument, oversight body or right (T4=1). ""Safeguard Germany's outstanding position as a research centre"" and ""build up the competitiveness of German industry"" is competitiveness framing (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_SUMMARYA_P06_06","DEU_AISTRAT_2018",2,"DEU","Germany",2018,"C","Summary “AI made in Germany”",6,6,337,TRUE,0,1,0,1,2,2,"T5_economic",2,"T6_geopolitical",2,4,2,"directed","High","YES","Polysemic Uncertainty","The measure list is dense and funded: ""a national network of at least twelve centres and application hubs"", ""at least 100 additional professorships for AI"", Mittelstand 4.0 AI trainers contacting ""at least 1,000 companies per year"", doubling the EXIST budget, a Tech Growth Fund Initiative, and a cloud platform with upgradable storage and computing capacity (T5=2). ""Working with France, we will drive forward the development of a Franco-German research and development network"" and ""we will form a European innovation cluster providing funding for cooperative research projects over the next five years"" are formalised cross-border R&D funding clusters, which is the T6=2 anchor. ""Improve incentives and the policy framework for the voluntary sharing of data in compliance with data protection rules"" adjusts framework conditions without creating an exemption (T2=1) and keeps data protection as a stated constraint rather than a new protection (T4=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_SUMMARYA_P07_07","DEU_AISTRAT_2018",3,"DEU","Germany",2018,"C","Summary “AI made in Germany”",7,7,348,TRUE,0,0,0,2,2,1,"T5_economic",2,"T4_civilrights",2,3,2,"directed","High","YES","Polysemic Uncertainty","""The Federal Government will safeguard the possibilities for works councils to engage in co-determination when it comes to the introduction and use of AI"" engages Germany's existing statutory co-determination regime, and the Government ""will invite data protection authorities and business associations for a round table and work together to develop joint guidelines"" and fund applications supporting ""the protection of citizens' privacy"" -- named institutional privacy and worker-participation instruments short of new enforceable obligations (T4=2). The observatory for AI, the National Further Training Strategy, in-company innovation spaces, the Digital Work and Society Future Fund and 50 environmental flagship applications are funded programmes (T5=2). Supporting ""similar observatories at European and international level"" and ""a European and transatlantic dialogue"" is engagement without a named forum, funding or agreement (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_1GOALS_P08_08","DEU_AISTRAT_2018",4,"DEU","Germany",2018,"C","1. Goals",8,8,387,FALSE,0,0,0,1,1,1,"T5_economic",1,"T4_civilrights",1,3,1,"aspirational","High","YES","Missing Operational Context","Goal I is a statement of ambition: ""the Federal Government is committed to achieving and maintaining leading global excellence in the research, development and application of AI"", to broadening the scientific base, and to putting ""the necessary services and policies in place"" for SMEs -- objectives without a named programme, budget or implementing body in this unit (T5=1). ""The modernisation of administration in the context of the needs of a state based on the rule of law"" is a constitutional framing clause with no mechanism (T4=1). ""'Artificial Intelligence (AI) made in Germany' is to become a globally recognised quality mark"" and attracting ""the best talents in AI"" from abroad is competitiveness framing (T6=1). The unit is 387 words, above the 350-word ceiling, and is flagged accordingly.","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_1GOALS_P08_09","DEU_AISTRAT_2018",5,"DEU","Germany",2018,"C","1. Goals",8,9,326,FALSE,0,0,0,2,2,1,"T5_economic",2,"T4_civilrights",2,3,2,"directed","High","YES","Polysemic Uncertainty","""We will take into account the recommendations of the Data Ethics Commission as we implement the Strategy"" commits the Government to the output of a named standing ethics body, alongside the goal that data be used ""whilst strictly observing data security and people's right to control their personal data"" and the intention ""to examine whether the regulatory framework needs to be further developed"" -- an institutional guardrail short of an enforceable obligation (T4=2). ""By expanding the smart infrastructure for real-time data transmission and analysis in the gigabit society, we are creating a central basis for stationary and mobile AI applications"" is committed digital infrastructure (T5=2). AI-based business models becoming ""new top exports"" and a ""European solution for data-based business models"" is competitiveness framing (T6=1). The high IT security goal protects systems from manipulation, which the Theme 3 boundary note routes to Theme 5, not to information control.","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_1GOALS_P09_09","DEU_AISTRAT_2018",6,"DEU","Germany",2018,"C","1. Goals",9,9,286,FALSE,0,0,1,1,1,1,"T3_infocontrol",1,"T5_economic",1,4,1,"aspirational","High","NO","None","""We want to create a policy environment for AI applications that creates and maintains diversity and guarantees the necessary scope for the development of cultural and media freedoms... the level of freedom of a democratic society is still measured in terms of the cultural and media diversity and the independence of the media"" is a state position on the information environment -- protective rather than restrictive -- with no instrument, addressee or consequence, which is the T3=1 anchor. Worker-centred development, ""enabling self-determination, providing security and protecting health"", diversity and the participation of people with disabilities are stated guiding principles without an enforceable right (T4=1). Sustainable development and improved ""security, efficiency and sustainability"" are goals (T5=1), pursued ""at European and global level"" (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_2CURRENT_P10_10","DEU_AISTRAT_2018",7,"DEU","Germany",2018,"C","2. Current situation",10,10,328,FALSE,0,0,0,1,1,1,"T5_economic",1,"T4_civilrights",1,3,1,"aspirational","High","NO","None","A diagnostic unit: AI is ""becoming the driver of digitalisation and autonomous systems in all areas of life"" and the Government ""wants to put the conditions in place for the opportunities and potential of AI to be used"", with no instrument named (T5=1). ""A human-centric use oriented to the common good... on the basis of the principles of democracy"" and success depending on ""complying with the individual's right to control their own data"" is framing that references rights without creating or describing any (T4=1). ""In many countries around the world, the level of public investment in AI is also rising"" is comparative framing (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_2CURRENT_P10_10_2","DEU_AISTRAT_2018",8,"DEU","Germany",2018,"C","2. Current situation",10,10,338,FALSE,0,0,0,1,1,1,"T5_economic",1,"T4_civilrights",1,3,1,"aspirational","High","NO","None","Continued diagnosis of structural change, the strength of the SME manufacturing sector, and the transfer problem, with no programme or budget named in this unit (T5=1). Trust ""based on active participation, transparency of the processes used and an understanding of how it works"" invokes transparency as a condition of adoption rather than as an obligation on any party (T4=1). ""The international race to attract talent, creativity, technology, data and investment is rapidly picking up speed"" and the call for ""uniform and ethically sophisticated rules for the use of AI technologies in Europe"" is competitiveness and norm-shaping framing without an instrument (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_2CURRENT_P10_11","DEU_AISTRAT_2018",9,"DEU","Germany",2018,"C","2. Current situation",10,11,148,FALSE,0,0,0,1,2,1,"T5_economic",2,"T4_civilrights",1,3,2,"enacted","Moderate","YES","Missing Operational Context","""The Federal Government's AI Strategy makes a contribution towards the implementation of the current High-Tech Strategy 2025, which... defines the transfer of AI into applications as a joint mission for the Federal Government"" anchors this strategy in an existing funded national programme (T5=2, enacted). ""The EU's General Data Protection Regulation (GDPR) is a first important step and forms an important basis for future European cooperation"" cites an enacted instrument with binding penalties but describes none of its obligations, so under codebook 8.2 the unit is flagged for missing operational context and Theme 4 is held at 1 rather than being lifted by an instrument the text does not describe. ""Europe must... proactively promote its values in order to help shape international rules and to set benchmarks"" is norm-shaping intent without a named forum (T6=1).","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
"DEU_AISTRAT_2018_3FIELDSO_P12_12","DEU_AISTRAT_2018",10,"DEU","Germany",2018,"C","3. Fields of action",12,12,339,FALSE,0,0,0,0,2,0,"T5_economic",2,"None",0,1,2,"enacted","High","NO","None","""In the 2019 federal budget, the Federation has taken the step that now seems necessary, allocating a total of EUR500 million"", with ""approx. EUR3000 million for implementing the AI strategy in the period from 2018 to 2025"" and a stated leverage effect at least doubling the total (T5=2, enacted -- an allocation in a passed budget, plus envisaged research tax breaks). The invitation to the Laender, business, and academic organisations to contribute creates no obligation. No rights, content, surveillance or cross-border mechanism appears.","2.0.0","d6e19dcfde5c59a5cdb80f3af5a36f9dd305dcf33a7d48ff2a99f071a588f959","INTERACTIVE_SESSION","INTERACTIVE_SESSION_NOT_REPRODUCIBLE","claude-opus-5 (Claude Code session; not an API call)","n/a","interactive_session","2026-08-21T18:45:04Z","interactive_20260821T184503Z",,,,,,,"en",TRUE,"PENDING","PENDING","PENDING"
